Id,Season,Week,SeasonType,StartDate,StartTimeTBD,Completed,NeutralSite,ConferenceGame,Attendance,VenueId,Venue,HomeId,HomeTeam,HomeClassification,HomeConference,HomePoints,HomeLineScores,HomePostgameWinProbability,HomePregameElo,HomePostgameElo,AwayId,AwayTeam,AwayClassification,AwayConference,AwayPoints,AwayLineScores,AwayPostgameWinProbability,AwayPregameElo,AwayPostgameElo,ExcitementIndex,Highlights,Notes,awayLeagueId,homeLeagueId
212350097,2001,1,regular,2001-08-23T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,38129,3873,L&N Federal Credit Union Stadium,97,Louisville,fbs,Conference USA,45,,,1624,1645,166,New Mexico State,fbs,Sun Belt,24,,,1334,1313,,,,1,1
63770,2001,1,regular,2001-08-25T04:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,,,158,Nebraska,fbs,Big 12,21,,,1970,1982,2628,TCU,fbs,Conference USA,7,,,1781,1769,,,,1,1
212370275,2001,1,regular,2001-08-25T18:00:00.000Z,FALSE,TRUE,FALSE,TRUE,76740,347,Camp Randall Stadium,275,Wisconsin,fbs,Big Ten,26,,,1699,1698,258,Virginia,fbs,ACC,17,,,1456,1457,,,,1,1
212370252,2001,1,regular,2001-08-25T20:30:00.000Z,FALSE,TRUE,FALSE,TRUE,40008,3801,LaVell Edwards Stadium,252,BYU,fbs,Mountain West,70,,,1525,1613,2655,Tulane,fbs,Conference USA,35,,,1446,1358,,,,1,1
212370201,2001,1,regular,2001-08-25T23:45:00.000Z,FALSE,TRUE,FALSE,FALSE,75423,3835,"Memorial Stadium (Norman, OK)",201,Oklahoma,fbs,Big 12,10,,,1911,1902,153,North Carolina,fbs,ACC,0,,,1514,1523,,,,1,1
212380183,2001,1,regular,2001-08-26T18:00:00.000Z,FALSE,TRUE,FALSE,FALSE,41517,,,183,Syracuse,fbs,Big East,7,,,1629,1624,59,Georgia Tech,fbs,ACC,13,,,1711,1716,,,,1,1
212380038,2001,1,regular,2001-08-27T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,47762,3726,Folsom Field,38,Colorado,fbs,Big 12,22,,,1572,1569,278,Fresno State,fbs,Western Athletic,24,,,1573,1576,,,,1,1
212422649,2001,2,regular,2001-08-30T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,34950,3739,Glass Bowl,2649,Toledo,fbs,Mid-American,38,,,1723,1793,135,Minnesota,fbs,Big Ten,7,,,1610,1540,,,,1,1
212422006,2001,2,regular,2001-08-30T23:00:00.000Z,FALSE,TRUE,FALSE,TRUE,13532,,,2006,Akron,fbs,Mid-American,31,,,1467,1469,195,Ohio,fbs,Mid-American,29,,,1562,1560,,,,1,1
212420218,2001,2,regular,2001-08-30T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,26191,3730,Franklin Field,218,Temple,fbs,Big East,45,,,1408,1437,2426,Navy,fbs,FBS Independents,26,,,1262,1233,,,,1,1
