Id,Season,Week,SeasonType,StartDate,StartTimeTBD,Completed,NeutralSite,ConferenceGame,Attendance,VenueId,Venue,HomeId,HomeTeam,HomeClassification,HomeConference,HomePoints,HomeLineScores[0],HomeLineScores[1],HomeLineScores[2],HomeLineScores[3],HomePostgameWinProbability,HomePregameElo,HomePostgameElo,AwayId,AwayTeam,AwayClassification,AwayConference,AwayPoints,AwayLineScores[0],AwayLineScores[1],AwayLineScores[2],AwayLineScores[3],AwayPostgameWinProbability,AwayPregameElo,AwayPostgameElo,ExcitementIndex,Highlights,Notes,awayLeagueId,homeLeagueId
272372013,2007,1,regular,2007-08-25T22:00:00.000Z,FALSE,TRUE,TRUE,FALSE,,,,2013,Albany State GA,,,16,0,7,0,9,,,,2428,North Carolina Central,fcs,FCS Independents,10,0,0,3,7,,,,,,,#N/A,#N/A
272420119,2007,1,regular,2007-08-30T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3781,Johnny Unitas Stadium,119,Towson,fcs,CAA,20,3,7,0,10,,,,2115,Central Connecticut,fcs,NEC,10,7,0,3,0,,,,,,,8,#N/A
272422132,2007,1,regular,2007-08-30T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,20223,3854,Nippert Stadium,2132,Cincinnati,fbs,Big East,59,6,13,20,20,,,,2546,Southeast Missouri State,fcs,OVC,3,0,3,0,0,,,,,,,1,#N/A
272420236,2007,1,regular,2007-08-30T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3720,Finley Stadium,236,Chattanooga,fcs,Southern,17,0,14,0,3,,,,2105,Carson-Newman College,,,29,0,3,12,14,,,,,,,8,#N/A
272420164,2007,1,regular,2007-08-30T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,43091,3754,High Point Solutions Stadium,164,Rutgers,fbs,Big East,38,21,7,7,3,,1678,1720,2084,Buffalo,fbs,Mid-American,3,0,0,3,0,,1222,1180,,,,1,#N/A
272422050,2007,1,regular,2007-08-30T23:00:00.000Z,FALSE,TRUE,FALSE,TRUE,7885,3919,Scheumann Stadium,2050,Ball State,fbs,Mid-American,13,3,0,3,7,,1443,1440,193,Miami (OH),fbs,Mid-American,14,0,7,0,7,,1399,1402,,,,1,#N/A
272422038,2007,1,regular,2007-08-30T23:00:00.000Z,FALSE,TRUE,TRUE,FALSE,,,,2038,Assumption,,,20,7,0,0,13,,,,2529,Sacred Heart,fcs,NEC,41,14,14,13,0,,,,,,,#N/A,#N/A
272422433,2007,1,regular,2007-08-30T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,22022,3817,Malone Stadium,2433,UL Monroe,fbs,Sun Belt,17,10,7,0,0,,1371,1345,202,Tulsa,fbs,Conference USA,35,14,0,14,7,,1544,1570,,,,1,#N/A
272422415,2007,1,regular,2007-08-30T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3762,Hughes Stadium,2415,Morgan State,fcs,MEAC,47,7,23,7,10,,,,2542,Savannah St,fcs,FCS Independents,7,0,0,0,7,,,,,,,8,#N/A
272420079,2007,1,regular,2007-08-30T23:00:00.000Z,FALSE,TRUE,TRUE,FALSE,,,,79,Southern Illinois,fcs,MVFC,59,14,17,7,21,,,,2825,Quincy,,,14,7,0,7,0,,,,,,,8,#N/A
