Id,Season,Week,SeasonType,StartDate,StartTimeTBD,Completed,NeutralSite,ConferenceGame,Attendance,VenueId,Venue,HomeId,HomeTeam,HomeClassification,HomeConference,HomePoints,HomeLineScores[0],HomeLineScores[1],HomeLineScores[2],HomeLineScores[3],HomeLineScores[4],HomePostgameWinProbability,HomePregameElo,HomePostgameElo,AwayId,AwayTeam,AwayClassification,AwayConference,AwayPoints,AwayLineScores[0],AwayLineScores[1],AwayLineScores[2],AwayLineScores[3],AwayLineScores[4],AwayPostgameWinProbability,AwayPregameElo,AwayPostgameElo,ExcitementIndex,Highlights,Notes,awayLeagueId,homeLeagueId
292390282,2009,1,regular,2009-08-27T22:05:00.000Z,FALSE,TRUE,FALSE,FALSE,,3829,Memorial Stadium,282,Indiana State,fcs,MVFC,20,17,0,0,3,0,,,,2825,Quincy,,,26,0,3,3,14,6,,,,,,,8,#N/A
292460311,2009,1,regular,2009-09-03T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3607,Alfond Stadium,311,Maine,fcs,CAA,34,7,6,0,14,7,,,,2594,St. Cloud State,,,27,3,7,7,10,0,,,,,,,8,#N/A
292460218,2009,1,regular,2009-09-03T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,0,3806,Lincoln Financial Field,218,Temple,fbs,Mid-American,24,0,10,7,7,,,,,222,Villanova,fcs,CAA,27,0,0,14,13,,,,,,,,1,8
292462630,2009,1,regular,2009-09-03T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3748,Graham Stadium,2630,UT Martin,fcs,OVC,56,7,14,21,14,,,,,2295,Iowa Wesleyan,,,0,0,0,0,0,,,,,,,,8,#N/A
292460189,2009,1,regular,2009-09-03T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,0,3700,Doyt L. Perry Stadium,189,Bowling Green,fbs,Mid-American,31,0,7,7,17,,,1488,1535,2653,Troy,fbs,Sun Belt,14,7,7,0,0,,,1585,1538,,,,1,1
292460236,2009,1,regular,2009-09-03T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3720,Finley Stadium,236,Chattanooga,fcs,Southern,30,7,14,9,0,,,,,2249,Glenville State,,,13,0,0,6,7,,,,,,,,8,#N/A
292462546,2009,1,regular,2009-09-03T23:00:00.000Z,FALSE,TRUE,TRUE,FALSE,,3758,Houck Stadium,2546,Southeast Missouri State,fcs,OVC,72,28,30,7,7,,,,,2825,Quincy,,,3,0,0,3,0,,,,,,,,8,#N/A
292460152,2009,1,regular,2009-09-03T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,0,3670,Carter-Finley Stadium,152,NC State,fbs,ACC,3,0,0,3,0,,,1512,1508,2579,South Carolina,fbs,SEC,7,7,0,0,0,,,1550,1554,,,,1,1
292462309,2009,1,regular,2009-09-03T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,0,3696,Dix Stadium,2309,Kent State,fbs,Mid-American,18,2,0,7,9,,,1313,1363,324,Coastal Carolina,fcs,Big South,0,0,0,0,0,,,1405,1355,,,,1,8
292462534,2009,1,regular,2009-09-03T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3647,Elliott T. Bowers Stadium,2534,Sam Houston,fcs,Southland,28,14,0,14,0,,,,,2710,Western Illinois,fcs,MVFC,35,7,7,14,7,,,,,,,,8,8
292462050,2009,1,regular,2009-09-03T23:30:00.000Z,FALSE,TRUE,FALSE,FALSE,0,3919,Scheumann Stadium,2050,Ball State,fbs,Mid-American,10,0,0,3,7,,,1530,1459,249,North Texas,fbs,Sun Belt,20,7,3,0,10,,,1035,1106,,,,1,1
292460084,2009,1,regular,2009-09-04T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,0,3830,"Memorial Stadium (Bloomington, IN)",84,Indiana,fbs,Big Ten,19,9,10,0,0,,,,,2198,Eastern Kentucky,fcs,OVC,13,7,3,3,0,,,,,,,,1,8
292460093,2009,1,regular,2009-09-04T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3909,Roy Stewart Stadium,93,Murray State,fcs,OVC,66,15,16,21,14,,,,,2316,Kentucky Wesleyan,,,10,0,7,3,0,,,,,,,,8,#N/A
292460233,2009,1,regular,2009-09-04T00:00:00.000Z,FALSE,TRUE,TRUE,FALSE,,,,233,South Dakota,fcs,Great West,52,10,21,7,14,,,,,2912,William Penn,,,0,0,0,0,0,,,,,,,,8,#N/A
292460253,2009,1,regular,2009-09-04T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3706,Eccles Coliseum,253,Southern Utah,fcs,Great West,36,6,14,10,6,,,,,3101,Utah Tech,,,7,0,7,0,0,,,,,,,,8,#N/A
292462197,2009,1,regular,2009-09-04T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3858,O'Brien Stadium,2197,Eastern Illinois,fcs,OVC,31,0,14,7,10,,,,,2287,Illinois State,fcs,MVFC,6,0,0,6,0,,,,,,,,8,8
292460066,2009,1,regular,2009-09-04T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,0,3772,Jack Trice Stadium,66,Iowa State,fbs,Big 12,34,7,10,10,7,,,,,2449,North Dakota State,fcs,MVFC,17,0,10,7,0,,,,,,,,1,8
292460254,2009,1,regular,2009-09-04T01:00:00.000Z,FALSE,TRUE,FALSE,FALSE,0,587,Rice-Eccles Stadium,254,Utah,fbs,Mountain West,35,14,12,7,2,,,1799,1800,328,Utah State,fbs,Western Athletic,17,10,7,0,0,,,1359,1358,,,,1,1
292460068,2009,1,regular,2009-09-04T02:15:00.000Z,FALSE,TRUE,FALSE,FALSE,0,3653,Albertsons Stadium,68,Boise State,fbs,Western Athletic,19,0,13,6,0,,,1813,1832,2483,Oregon,fbs,Pac-10,8,0,0,8,0,,,1799,1780,,,,1,1
292470048,2009,1,regular,2009-09-04T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3695,Delaware Stadium,48,Delaware,fcs,CAA,35,7,14,14,0,,,,,223,West Chester,,,0,0,0,0,0,,,,,,,,8,#N/A
292472655,2009,1,regular,2009-09-05T00:00:00.000Z,FALSE,TRUE,FALSE,TRUE,0,3493,Caesars Superdome,2655,Tulane,fbs,Conference USA,13,0,3,7,3,,,1128,1125,202,Tulsa,fbs,Conference USA,37,17,3,3,14,,,1698,1701,,,,1,1
