Id,Season,Week,SeasonType,StartDate,StartTimeTBD,Completed,NeutralSite,ConferenceGame,Attendance,VenueId,Venue,HomeId,HomeTeam,HomeClassification,HomeConference,HomePoints,HomeLineScores[0],HomeLineScores[1],HomeLineScores[2],HomeLineScores[3],HomePostgameWinProbability,HomePregameElo,HomePostgameElo,AwayId,AwayTeam,AwayClassification,AwayConference,AwayPoints,AwayLineScores[0],AwayLineScores[1],AwayLineScores[2],AwayLineScores[3],AwayPostgameWinProbability,AwayPregameElo,AwayPostgameElo,ExcitementIndex,awayLeagueId,homeLeagueId
401525434,2023,1,regular,2023-08-26T18:30:00.000Z,FALSE,TRUE,TRUE,FALSE,49000,3504,Aviva Stadium,87,Notre Dame,fbs,FBS Independents,42,14,14,7,7,0.9989583435,1733,1819,2426,Navy,fbs,American Athletic,3,0,0,0,3,0.001041656495,1471,1385,1.346907661,1,1
401540199,2023,1,regular,2023-08-26T19:30:00.000Z,FALSE,TRUE,TRUE,FALSE,,3689,Cramton Bowl,2382,Mercer,fcs,Southern,17,7,3,0,7,0.9741514648,,,2453,North Alabama,fcs,UAC,7,7,0,0,0,0.02584853518,,,6.896908931,8,8
401520145,2023,1,regular,2023-08-26T21:30:00.000Z,FALSE,TRUE,FALSE,TRUE,17982,3662,AmFirst Stadium,55,Jacksonville State,fbs,Conference USA,17,3,7,7,0,0.4080006004,1500,1499,2638,UTEP,fbs,Conference USA,14,0,7,0,7,0.5919993996,1369,1370,6.821333394,1,1
401525450,2023,1,regular,2023-08-26T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,15356,3601,Aggie Memorial Stadium,166,New Mexico State,fbs,Conference USA,30,0,10,0,20,0.2392488634,1322,1274,113,Massachusetts,fbs,FBS Independents,41,7,3,3,28,0.7607511366,1074,1122,5.311493375,1,1
401532392,2023,1,regular,2023-08-26T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,23867,7311,Snapdragon Stadium,21,San Diego State,fbs,Mountain West,20,3,7,0,10,0.95446873,1488,1497,195,Ohio,fbs,Mid-American,13,3,3,0,7,0.04553127005,1482,1473,6.547378134,1,1
401540628,2023,1,regular,2023-08-26T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,4419,Bob Ford Field,399,UAlbany,fcs,CAA,34,7,14,3,10,0.9225171428,,,2230,Fordham,fcs,Patriot,13,3,3,7,0,0.07748285718,,,5.608757589,8,8
401520147,2023,1,regular,2023-08-26T23:30:00.000Z,FALSE,TRUE,FALSE,FALSE,21407,3973,FirstBank Stadium,238,Vanderbilt,fbs,SEC,35,14,7,7,7,0.1808461881,1322,1327,62,Hawai'i,fbs,Mountain West,28,7,7,0,14,0.8191538119,1246,1241,5.282032603,1,1
401539999,2023,1,regular,2023-08-26T23:30:00.000Z,FALSE,TRUE,TRUE,FALSE,,4246,Center Parc Stadium,2296,Jackson State,fcs,SWAC,37,7,10,17,3,0.9989029619,,,2569,South Carolina State,fcs,MEAC,7,0,0,0,7,0.001097038117,,,3.122343545,8,8
401523986,2023,1,regular,2023-08-27T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,63411,477,Los Angeles Memorial Coliseum,30,USC,fbs,Pac-12,56,7,14,21,14,0.9982308679,1663,1713,23,San José State,fbs,Mountain West,28,0,14,7,7,0.001769132059,1462,1412,1.698729646,1,1
401520146,2023,1,regular,2023-08-27T01:00:00.000Z,FALSE,TRUE,FALSE,TRUE,16299,3776,Joe Aillet Stadium,2348,Louisiana Tech,fbs,Conference USA,22,0,13,0,9,0.9857287783,1251,1249,2229,Florida International,fbs,Conference USA,17,14,3,0,0,0.01427122172,1072,1074,8.997766107,1,1
401550265,2023,1,regular,2023-08-31T04:00:00.000Z,TRUE,TRUE,FALSE,FALSE,,5855,Charles A. Henry Field,2274,Hiram College,iii,North Coast,14,0,7,7,0,,,,191,Heidelberg,iii,Ohio,68,13,21,21,13,,,,,#N/A,#N/A
401540607,2023,1,regular,2023-08-31T04:00:00.000Z,TRUE,TRUE,FALSE,FALSE,,4899,Fifth Third Stadium,338,Kennesaw State,fcs,FCS Independents,38,0,10,7,21,0.9651605764,,,2839,Greeneville,ii,South Atlantic,7,7,0,0,0,0.03483942361,,,5.904077281,8,#N/A
401540288,2023,1,regular,2023-08-31T04:00:00.000Z,TRUE,TRUE,FALSE,FALSE,,4762,Memorial Stadium (Commerce TX),2837,East Texas A&M,fcs,Southland,10,0,3,0,7,0.03025494187,,,302,UC Davis,fcs,Big Sky,48,10,21,3,14,0.9697450581,,,2.01705136,8,8
401545743,2023,1,regular,2023-08-31T04:00:00.000Z,TRUE,TRUE,FALSE,FALSE,,6058,Ralph F. DellaCamera Stadium,2441,New Haven,ii,Northeast 10,24,7,10,7,0,,,,341,Frostburg State,ii,Mountain East,27,0,14,7,3,,,,,#N/A,#N/A
