Id,Season,Week,SeasonType,StartDate,StartTimeTBD,Completed,NeutralSite,ConferenceGame,Attendance,VenueId,Venue,HomeId,HomeTeam,HomeClassification,HomeConference,HomePoints,HomeLineScores,HomePostgameWinProbability,HomePregameElo,HomePostgameElo,AwayId,AwayTeam,AwayClassification,AwayConference,AwayPoints,AwayLineScores,AwayPostgameWinProbability,AwayPregameElo,AwayPostgameElo,ExcitementIndex,Highlights,Notes
401756846,2025,1,regular,2025-08-23T16:00:00.000Z,FALSE,FALSE,TRUE,TRUE,,3504,Aviva Stadium,66,Iowa State,fbs,Big 12,,,,1616,,2306,Kansas State,fbs,Big 12,,,,1669,,,,Aer Lingus College Football Classic
401756847,2025,1,regular,2025-08-23T22:30:00.000Z,FALSE,FALSE,FALSE,FALSE,,3833,Memorial Stadium,2305,Kansas,fbs,Big 12,,,,1583,,278,Fresno State,fbs,Mountain West,,,,1490,,,,
401757218,2025,1,regular,2025-08-23T23:00:00.000Z,FALSE,FALSE,FALSE,TRUE,,3796,Houchens Industries-L.T. Smith Stadium,98,Western Kentucky,fbs,Conference USA,,,,1409,,2534,Sam Houston,fbs,Conference USA,,,,1452,,,,
401754516,2025,1,regular,2025-08-23T23:30:00.000Z,FALSE,FALSE,FALSE,FALSE,,7220,Clarence T.C. Ching Athletics Complex,62,Hawai'i,fbs,Mountain West,,,,1257,,24,Stanford,fbs,ACC,,,,1283,,,,
401760357,2025,1,regular,2025-08-28T04:00:00.000Z,TRUE,FALSE,FALSE,FALSE,,7311,Snapdragon Stadium,21,San Diego State,fbs,Mountain West,,,,1318,,2619,Stony Brook,fcs,CAA,,,,,,,,
401762522,2025,1,regular,2025-08-28T21:30:00.000Z,FALSE,FALSE,FALSE,FALSE,,3886,Raymond James Stadium,58,South Florida,fbs,American Athletic,,,,1456,,68,Boise State,fbs,Mountain West,,,,1676,,,,
401752794,2025,1,regular,2025-08-28T22:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,6577,SHI Stadium,164,Rutgers,fbs,Big Ten,,,,1522,,195,Ohio,fbs,Mid-American,,,,1621,,,,
401762790,2025,1,regular,2025-08-28T22:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,3700,Doyt L. Perry Stadium,189,Bowling Green,fbs,Mid-American,,,,1461,,322,Lafayette,fcs,Patriot,,,,,,,,
401761588,2025,1,regular,2025-08-28T23:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,3817,Malone Stadium,2433,UL Monroe,fbs,Sun Belt,,,,1281,,2598,St. Francis (PA),fcs,NEC,,,,,,,,
401757219,2025,1,regular,2025-08-28T23:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,3695,Delaware Stadium,48,Delaware,fbs,Conference USA,,,,1500,,2169,Delaware State,fcs,MEAC,,,,,,,,
401762789,2025,1,regular,2025-08-28T23:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,3768,InfoCision Stadium,2006,Akron,fbs,Mid-American,,,,1245,,2751,Wyoming,fbs,Mountain West,,,,1367,,,,
401754373,2025,1,regular,2025-08-28T23:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,3670,Carter-Finley Stadium,152,NC State,fbs,ACC,,,,1501,,151,East Carolina,fbs,American Athletic,,,,1435,,,,
