Id,Season,Week,SeasonType,StartDate,StartTimeTBD,Completed,NeutralSite,ConferenceGame,Attendance,VenueId,Venue,HomeId,HomeTeam,HomeClassification,HomeConference,HomePoints,HomeLineScores,HomePostgameWinProbability,HomePregameElo,HomePostgameElo,AwayId,AwayTeam,AwayClassification,AwayConference,AwayPoints,AwayLineScores,AwayPostgameWinProbability,AwayPregameElo,AwayPostgameElo,ExcitementIndex
401756846,2025,1,regular,2025-08-23T16:00:00.000Z,FALSE,TRUE,TRUE,TRUE,,3504,Aviva Stadium,2306,Kansas State,fbs,Big 12,21,"0,7,0,14",0.2015444189,1669,1666,66,Iowa State,fbs,Big 12,24,"7,0,7,10",0.7984555811,1616,1619,6.029094161
401760371,2025,1,regular,2025-08-23T20:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,6501,Allegiant Stadium,2439,UNLV,fbs,Mountain West,38,"0,14,10,14",0.9787868857,,,304,Idaho State,fcs,Big Sky,31,"10,7,7,7",0.02121311426,,,9.59856171
401756847,2025,1,regular,2025-08-23T22:30:00.000Z,FALSE,TRUE,FALSE,FALSE,,3833,Memorial Stadium,2305,Kansas,fbs,Big 12,31,"14,10,7,0",1,1583,1632,278,Fresno State,fbs,Mountain West,7,"7,0,0,0",0,1490,1441,3.783040848
401757218,2025,1,regular,2025-08-23T23:00:00.000Z,FALSE,TRUE,FALSE,TRUE,,3796,Houchens Industries-L.T. Smith Stadium,98,Western Kentucky,fbs,Conference USA,41,"7,13,14,7",0.8728970289,1409,1450,2534,Sam Houston,fbs,Conference USA,24,"3,7,14,0",0.1271029711,1452,1411,6.041463685
401754516,2025,1,regular,2025-08-23T23:30:00.000Z,FALSE,TRUE,FALSE,FALSE,,7220,Clarence T.C. Ching Athletics Complex,62,Hawai'i,fbs,Mountain West,23,"7,7,3,6",0.4101631939,1257,1258,24,Stanford,fbs,ACC,20,"10,3,0,7",0.5898368061,1283,1282,7.307567862
401762522,2025,1,regular,2025-08-28T21:30:00.000Z,FALSE,TRUE,FALSE,FALSE,,3886,Raymond James Stadium,58,South Florida,fbs,American Athletic,34,"0,10,14,10",0.9718407989,1456,1554,68,Boise State,fbs,Mountain West,7,"7,0,0,0",0.02815920115,1676,1578,5.137221554
401762790,2025,1,regular,2025-08-28T22:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3700,Doyt L. Perry Stadium,189,Bowling Green,fbs,Mid-American,26,"7,10,6,3",1,1461,1461,322,Lafayette,fcs,Patriot,7,"0,0,7,0",0,,,2.717791925
401752794,2025,1,regular,2025-08-28T22:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,6577,SHI Stadium,164,Rutgers,fbs,Big Ten,34,"7,24,0,3",0.9000661373,1522,1524,195,Ohio,fbs,Mid-American,31,"7,10,14,0",0.09993386269,1621,1619,6.943864856
401757219,2025,1,regular,2025-08-28T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3695,Delaware Stadium,48,Delaware,fbs,Conference USA,35,"0,14,7,14",0.9485715032,1500,1500,2169,Delaware State,fcs,MEAC,17,"0,3,7,7",0.05142849684,,,4.477316433
401754373,2025,1,regular,2025-08-28T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3670,Carter-Finley Stadium,152,NC State,fbs,ACC,24,"3,14,7,0",0.748005569,1501,1507,151,East Carolina,fbs,American Athletic,17,"0,7,0,10",0.251994431,1435,1429,4.650976947
401761588,2025,1,regular,2025-08-28T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3817,Malone Stadium,2433,UL Monroe,fbs,Sun Belt,29,"7,3,7,12",0.9948040247,1281,1281,2598,St. Francis (PA),fcs,NEC,0,"0,0,0,0",0.005195975304,,,3.542032415
401762789,2025,1,regular,2025-08-28T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3768,InfoCision Stadium,2006,Akron,fbs,Mid-American,0,"0,0,0,0",0.1025650874,1245,1235,2751,Wyoming,fbs,Mountain West,10,"0,3,0,7",0.8974349126,1367,1377,4.853832639
401756848,2025,1,regular,2025-08-28T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3652,FBC Mortgage Stadium,2116,UCF,fbs,Big 12,17,"0,0,3,14",0.9146236181,1538,1554,55,Jacksonville State,fbs,Conference USA,10,"0,0,3,7",0.08537638187,1650,1634,7.405744591
401756876,2025,1,regular,2025-08-28T23:30:00.000Z,FALSE,TRUE,FALSE,FALSE,,3646,Boone Pickens Stadium,197,Oklahoma State,fbs,Big 12,27,"14,3,3,7",0.8100014329,1334,1334,2630,UT Martin,fcs,Big South-OVC,7,"7,0,0,0",0.1899985671,,,3.472374103
